PLAYER,LOCATION,Latitude,Longitude,DISTANCE (miles),COMBINE,Local Ties,TOURNAMENT LOCATION,Latitude Tournament,Longitude Tournament,TYPE
Mark Hubbard,"Denver, Colorado",39.7392° N,104.9903° W,575.2117297,Mark HubbardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Will Thomson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Will ThomsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brad Miller,"Richmond, Virginia",37.5407° N,77.4360° W,226.10875,Brad MillerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Scott,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jake ScottNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Wes Homan,"Cincinnati, Ohio",39.1031° N,84.5120° W,120.3918789,Wes HomanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jimmy Jones,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jimmy JonesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Dawson Armstrong,"Brentwood, Tennessee",36.0331° N,86.7828° W,241.5077741,Dawson ArmstrongNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew McCain,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew McCainNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Francoeur,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris FrancoeurNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Stinson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan StinsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Garrett May,"Waco, Texas",31.5493° N,97.1467° W,537.9593312,Garrett MayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Thornton,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan ThorntonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew McAuley,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew McAuleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kyle Hogan,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Kyle HoganNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Oshrine,"Wellington, Florida",26.6618° N,80.2684° W,550.5623641,Matt OshrineNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jon Mayer,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jon MayerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brad Hopfinger,"Lake Forest, Illinois",42.2586° N,87.8406° W,120.5052233,Brad HopfingerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David Snyder,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David SnyderNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jaime Gomez,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jaime GomezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Max Sear,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Max SearNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Wilson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris WilsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Danny Walker,"Bradenton, Florida",27.4989° N,82.5748° W,515.9305254,Danny WalkerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Zack Fischer,"San Antonio, Texas",29.4241° N,98.4936° W,619.8079488,Zack FischerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Trevor Ranton,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Trevor RantonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tim Ritter,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Tim RitterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Derek Gillespie,"Oshawa, Ontario",43.8971° N,78.8658° W,118.7569955,Derek GillespieNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Adam Cornelson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Adam CornelsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew Harrison,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew HarrisonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
John Sand,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,John SandNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Will Barnett,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Will BarnettNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Garrett Rank,"Elmira, Ontario",43.6011° N,80.5579° W,76.51999926,Garrett RankPossible,Possible,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
John Duthie,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,John DuthieNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tyler Ota,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Tyler OtaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan DeGrazia,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan DeGraziaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Derek Meinhart,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Derek MeinhartNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Michael Blair,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Michael BlairNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
,,,,,Not Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Hemmerich,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris HemmerichNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jesse Smith,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jesse SmithNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Mike Van Sickle,"Pittsburgh, Pennsylvania",40.4406° N,79.9959° W,106.1912053,Mike Van SickleNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew Jensen,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew JensenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Williams,"Houston, Texas",29.7604° N,95.3698° W,553.9822431,Matt WilliamsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jimmy Beck,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jimmy BeckNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Russell Budd,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Russell BuddNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Goodman,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jake GoodmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Blair Bursey,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Blair BurseyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Clark Rustand,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Clark RustandNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kelvin Day,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Kelvin DayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Knapp,"Costa Mesa, California",33.6411° N,117.9187° W,986.2963629,Jake KnappNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jon Mills,"Kentville, Nova Scotia",45.0771° N,64.4960° W,472.7285719,Jon MillsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brian Dwyer,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Brian DwyerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tyler Wateska,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Tyler WateskaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Ross,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris RossNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Marc-Etienne Bussieres,"Quebec City, Quebec",46.8139° N,71.2080° W,329.464461,Marc-Etienne BussieresNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Hayden Shieh,"San Jose, California",37.3382° N,121.8863° W,1033.285205,Hayden ShiehNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Michael Karoly,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Michael KarolyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Wilson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris WilsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew McCain,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew McCainNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Holmes,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan HolmesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David Holzinger,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David HolzingerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Kevorkian,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jake KevorkianNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David Timberlake,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David TimberlakeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David French,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David FrenchNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Luke Moser,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Luke MoserNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Russell Whatford,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Russell WhatfordNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Crisologo,"Vancouver, British Columbia",49.2827° N,123.1207° W,978.7318968,Chris CrisologoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Wilson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris WilsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan DeGrazia,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan DeGraziaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jimmy Jones,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jimmy JonesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jon Mills,"Kentville, Nova Scotia",45.0771° N,64.4960° W,472.7285719,Jon MillsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kelvin Day,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Kelvin DayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Marc-Etienne Bussieres,"Quebec City, Quebec",46.8139° N,71.2080° W,329.464461,Marc-Etienne BussieresNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Michael Karoly,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Michael KarolyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Russell Budd,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Russell BuddNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David Timberlake,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David TimberlakeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Goodman,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jake GoodmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jimmy Beck,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jimmy BeckNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Blair Bursey,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Blair BurseyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Clark Rustand,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Clark RustandNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brian Dwyer,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Brian DwyerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tyler Wateska,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Tyler WateskaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Ross,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris RossNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Hayden Shieh,"San Jose, California",37.3382° N,121.8863° W,1033.285205,Hayden ShiehNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David Holzinger,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David HolzingerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Kevorkian,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jake KevorkianNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David French,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,David FrenchNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Luke Moser,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Luke MoserNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Russell Whatford,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Russell WhatfordNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Wilson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris WilsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan DeGrazia,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan DeGraziaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jimmy Jones,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jimmy JonesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew McCain,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew McCainNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Francoeur,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Chris FrancoeurNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Stinson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan StinsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Thornton,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan ThorntonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew McAuley,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Andrew McAuleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Derek Barron,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Derek BarronNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brendan Leonard,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Brendan LeonardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Will Thomson,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Will ThomsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Scott,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jake ScottNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brad Miller,"Richmond, Virginia",37.5407° N,77.4360° W,226.10875,Brad MillerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Wes Homan,"Cincinnati, Ohio",39.1031° N,84.5120° W,120.3918789,Wes HomanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Dawson Armstrong,"Brentwood, Tennessee",36.0331° N,86.7828° W,241.5077741,Dawson ArmstrongNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Garrett May,"Waco, Texas",31.5493° N,97.1467° W,537.9593312,Garrett MayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Danny Walker,"Bradenton, Florida",27.4989° N,82.5748° W,515.9305254,Danny WalkerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Zack Fischer,"San Antonio, Texas",29.4241° N,98.4936° W,619.8079488,Zack FischerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kyle Hogan,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Kyle HoganNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Oshrine,"Wellington, Florida",26.6618° N,80.2684° W,550.5623641,Matt OshrineNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brad Hopfinger,"Lake Forest, Illinois",42.2586° N,87.8406° W,120.5052233,Brad HopfingerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
,,,,,Not Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Mike Van Sickle,"Pittsburgh, Pennsylvania",40.4406° N,79.9959° W,106.1912053,Mike Van SickleNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Williams,"Houston, Texas",29.7604° N,95.3698° W,553.9822431,Matt WilliamsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Hayden Shieh,"San Jose, California",37.3382° N,121.8863° W,1033.285205,Hayden ShiehNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Crawford,"Jacksonville, Florida",30.3322° N,81.6557° W,419.7930572,Chris CrawfordNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Braden Bailey,"Waco, Texas",31.5493° N,97.1467° W,537.9593312,Braden BaileyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Pep Angles,"Barcelona, Spain",41.3851° N,2.1734° E,2092.424405,Pep AnglesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Luke Schniederjans,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Luke SchniederjansNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Albin Choi,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Albin ChoiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Trevor Simsby,"Calgary, Alberta",51.0447° N,114.0719° W,783.6514693,Trevor SimsbyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Martin Piller,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Martin PillerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
James Piot,"Canton, Michigan",42.3086° N,83.4821° W,9.952736731,James PiotExtremely Likely,Extremely Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
P.J. Maybank,"Cheboygan, Michigan",45.6469° N,84.4745° W,116.1871179,P.J. MaybankNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
John Pak,"Scotch Plains, New Jersey",40.6554° N,74.3899° W,233.9178679,John PakNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Scott Stevens,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Scott StevensNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tyler McCumber,"Ponte Vedra Beach, Florida",30.2397° N,81.3853° W,423.7622046,Tyler McCumberNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Naegel,"St. Louis, Missouri",38.6270° N,90.1994° W,227.3045033,Chris NaegelNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brent Grant,"Sacramento, California",38.5816° N,121.4944° W,1007.912474,Brent GrantNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brian Stuard,"Jackson, Michigan",42.2459° N,84.4013° W,33.15345796,Brian StuardLikely,Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Michael Sims,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Michael SimsNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Aaron Beverly,"Sacramento, California",38.5816° N,121.4944° W,1007.912474,Aaron BeverlyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Marshall,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Matt MarshallNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Johnny Ruiz,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Johnny RuizNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Anders Albertson,"Woodstock, Georgia",34.1015° N,84.5194° W,290.0570488,Anders AlbertsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Danielle Kang,"San Francisco, California",37.7749° N,122.4194° W,1041.260269,Danielle KangNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Bowser,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan BowserNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Zac Oakley,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Zac OakleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tim Wilkinson,"Palmerston North, New Zealand",40.3523° S,175.6082° E,4254.187628,Tim WilkinsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Charlie Reiter,"Palm Desert, California",33.7222° N,116.3745° W,945.8730323,Charlie ReiterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew Kozan,"Palm Beach Gardens, Florida",26.8234° N,80.1387° W,545.5836831,Andrew KozanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Parziale,"Brockton, Massachusetts",42.0834° N,71.0184° W,309.5651848,Matt ParzialeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Mark Anguiano,"El Paso, Texas",31.7619° N,106.4850° W,738.0375788,Mark AnguianoNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Taylor Montgomery,"Las Vegas, Nevada",36.1699° N,115.1398° W,877.0873629,Taylor MontgomeryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Evan Brown,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Evan BrownNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ben Silverman,"Palm Beach Gardens, Florida",26.8234° N,80.1387° W,545.5836831,Ben SilvermanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Michael Feagles,"Hinsdale, Illinois",41.8009° N,87.9370° W,125.1498382,Michael FeaglesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jack Munro,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Jack MunroNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Josh Whalen,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Josh WhalenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Hugo Bernard,"Quebec City, Quebec",46.8139° N,71.2080° W,329.464461,Hugo BernardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Etienne Brault,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Etienne BraultNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Robbie Greenwell,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Robbie GreenwellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Crawford,"Jacksonville, Florida",30.3322° N,81.6557° W,419.7930572,Chris CrawfordNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
